2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Soto Pack,SKU-0208F4E9,5 pcs,21200,21200,0.00,Toko Grosir Sembako,Shopee,Jawa Barat,Bekasi,No Promo,NULL,Soto,NULL,Multipack,NULL,NULL,235
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Korean Spicy Chicken,SKU-D1AE3087,12 x 81g,55100,55100,0.00,Supermarket Online,Shopee,DKI Jakarta,Jakarta Pusat,No Promo,NULL,Korean,Spicy Chicken,Multipack,NULL,NULL,133
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cheese Buldak,SKU-FB7C9D0B,5 x 89g,23000,23000,0.00,Mitra Distributor,Shopee,Jawa Barat,Bekasi,No Promo,NULL,Korean,Cheese Buldak,Multipack,NULL,NULL,45
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Kuah,SKU-08AAC92F,NULL,4500,4500,0.00,Toko Kelontong Digital,Shopee,Jawa Timur,Sidoarjo,No Promo,NULL,Kuah,NULL,Single Pack,NULL,NULL,1000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Ayam Bawang,SKU-8A40113C,5 x 71g,14589,14589,0.00,Toko Grosir Sembako,Shopee,Banten,Tangerang,No Promo,NULL,Kuah,Ayam Bawang,Multipack,NULL,NULL,7
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Singapore Spicy Laksa,SKU-9CF9E2C2,40 x 83g,128700,128700,0.00,Toko Kelontong Digital,Shopee,Jawa Barat,Bandung,No Promo,NULL,Laksa,Singapore Spicy Laksa,Multipack,NULL,NULL,0
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Goreng 1 Cup,SKU-EB52A110,12 pcs,59900,59900,0.00,Mitra Distributor,Shopee,Jawa Tengah,Surakarta,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,32
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Singapore Spicy Laksa,SKU-A1AED2AD,83g,3410,3410,0.00,Toko Kelontong Digital,Shopee,DKI Jakarta,Jakarta Utara,No Promo,NULL,Laksa,Singapore Spicy Laksa,Single Pack,NULL,NULL,682
2026-05-29,Wings Group,Mie Sedaap,Mie Mie Sedaap N1856,SKU-C888AF83,40 pcs,163020,163020,0.00,Supermarket Online,Shopee,DKI Jakarta,Jakarta Timur,No Promo,NULL,NULL,NULL,Multipack,NULL,NULL,3
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Soto,SKU-F882163C,81g,13700,13700,0.00,Mitra Distributor,Shopee,Sumatera Utara,Medan,No Promo,NULL,Soto,NULL,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng X 40,SKU-2FE9A681,90g,128200,128200,0.00,Mitra Distributor,Shopee,Jawa Barat,Bekasi,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,2000
2026-05-29,Wings Group,Mie Sedaap,Mie Mie Sedaap Soto,SKU-BC14992C,3 x 375g,43200,43200,0.00,Toko Kelontong Digital,Shopee,Jawa Tengah,Surakarta,No Promo,NULL,Soto,NULL,Multipack,NULL,NULL,6000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Ayam Nampool,SKU-64FF74E4,12 x 75g,52100,52100,0.00,Retail Express,Shopee,Banten,Tangerang,No Promo,NULL,NULL,NULL,Multipack,NULL,NULL,79
2026-05-29,Wings Group,Mie Sedaap,1 Mie Sedaap Cup All Varian Pcs,SKU-FB576E9A,12 pcs,61749,61749,0.00,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Pusat,No Promo,NULL,NULL,NULL,Multipack,NULL,NULL,5000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Kari Special,SKU-5E2D17F6,NULL,3360,3360,0.00,Mitra Distributor,Shopee,Jawa Barat,Bandung,No Promo,NULL,Kari,NULL,Single Pack,NULL,NULL,182
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Ayam Spesial,SKU-2543FE12,69g,15900,15900,0.00,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Selatan,No Promo,NULL,Kuah,Ayam Spesial,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Baso Bleduk,SKU-3CEEF686,12 x 77g,52100,52100,0.00,Official Store,Shopee,DKI Jakarta,Jakarta Barat,No Promo,NULL,Kuah,Baso Bleduk,Multipack,NULL,NULL,316
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Kuah Ayam Jerit,SKU-9D83F075,77g,3120,3120,0.00,Mitra Distributor,Shopee,Jawa Timur,Surabaya,No Promo,NULL,Kuah,Ayam Jerit,Single Pack,NULL,NULL,219
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng,SKU-A77EA80A,90g,3520,3520,0.00,Official Store,Shopee,Banten,Tangerang Selatan,No Promo,NULL,Goreng,NULL,Single Pack,NULL,NULL,369
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Bks N1853,SKU-ED07EC6C,5 pcs,25047,25047,0.00,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Timur,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,5
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Curry White,SKU-957126FC,81g,3630,3630,0.00,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Utara,No Promo,NULL,Kari,NULL,Single Pack,NULL,NULL,376
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Soto,SKU-6EC76B41,81g,52100,52100,0.00,Supermarket Online,Shopee,DKI Jakarta,Jakarta Timur,No Promo,NULL,Soto,NULL,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Soto Pcs,SKU-2BB21C6B,40 x 75g,120700,120700,0.00,Retail Express,Shopee,DKI Jakarta,Jakarta Selatan,No Promo,NULL,Soto,NULL,Multipack,NULL,NULL,2000
2026-05-29,Wings Group,Mie Sedaap,Mie Mie Mie Sedaap Goreng,SKU-83E75405,NULL,4900,4900,0.00,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Timur,No Promo,NULL,Goreng,NULL,Single Pack,NULL,NULL,3
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Korean Series,SKU-8CEFA8C3,NULL,18100,18100,0.00,Retail Express,Shopee,Jawa Timur,Sidoarjo,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,1000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Kari Ayam,SKU-012260BA,72g,15400,15400,0.00,Toko Grosir Sembako,Shopee,Jawa Barat,Bandung,No Promo,NULL,Kari,Kari Ayam,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup All Varian - Mi Sedap,SKU-C9A808B5,NULL,7800,7800,0.00,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Selatan,No Promo,NULL,NULL,NULL,Single Pack,NULL,NULL,4
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Ala Chef,SKU-22E54812,93g,128300,128300,0.00,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Timur,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,9000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Ayam Jerit,SKU-7A48E6B3,40 x 77g,129600,129600,0.00,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Timur,No Promo,NULL,Kuah,Ayam Jerit,Multipack,NULL,NULL,84
