brand,nama_produk,harga_coret,harga_diskon,nominal_diskon,jumlah_terjual,e_commerce,country,tipe_kemasan
Wings,Sedaap Mie Instan Goreng Ala Chef Bag 93 gr x40,0,128300,0,9000,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Ayam Jerit 77 gr Carton (40 pcs),0,129600,0,84,Shopee,Indonesia,Grosir
Wings,Mie Sedaap Mi Instan Ayam Bakar Limau 5 x 89 gr,0,16300,0,5000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Goreng Bag 90 gr Box isi 40,0,128200,0,10000,Shopee,Indonesia,Grosir
Wings,Mie Sedaap Soto 5 x 75 gr + Mie Sedaap Goreng 5 x 90 gr,0,29700,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Cup Singapore Spicy Laksa 86 gr Carton (12 pcs),0,52100,0,289,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Cup Singapore Spicy Laksa 86 gr x3,0,13700,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Goreng Isi 5 Bag 90 gr Carton (8 pcs),0,118000,0,10000,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Bakso Spesial Bag 77 gr x5,0,15500,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Goreng Salero Padang Bag 86 gr x3,0,11000,0,7000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Soto Isi 5 Bag 75 gr x3,0,43200,0,10000,Shopee,Indonesia,Bundling
Wings,SEDAAP MIE INSTANT 1 DUS ISI 40 ED DES 2026,0,138996,0,10000,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Goreng Bag 90 gr x40,0,128200,0,10000,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Goreng Ayam Krispi Bag 88 gr Carton (40 pcs),0,136100,0,16,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Goreng Intan Salero Padang 86 gr x 2,0,7500,0,2000,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan Cup Korean Spicy Chicken 81 gr x12,0,55100,0,7000,Shopee,Indonesia,Bundling
Wings,"Mie Instan Sedaap Goreng 5 Pcs - Praktis, Lezat, Higienis",0,17580,0,21,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Goreng Ayam Krispi Bag 88 gr x5,0,16300,0,10000,Shopee,Indonesia,Bundling
Wings,SEDAAP MI GORENG ALA CHEF DEVINA 93 GR,0,3520,0,42,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan Cup Bakso Spesial 77 gr x12,0,52100,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Cup Baso Bleduk 77 gr x12,0,52100,0,10000,Shopee,Indonesia,Bundling
Wings,(BHGAA) MIE SEDAAP GORENG limau DAN KUAH ayam bawang spicy kari soto singapore korean 85GR,0,3478,0,3000,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Korean Cheese Buldak 86 gr isi 40pcs,0,128400,0,403,Shopee,Indonesia,Grosir
