scrape_date,company,brand,product_name,sku_id,pack_size,original_price,final_price,discount_pct,retailer,platform,province,city,promo_type,promo_text,variant,flavor,offer_structure,promo_start,promo_end,sales_volume,revenue,total_weight_g,unit_quantity,price_per_100g,price_flag
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng X 40 - Bawang Goreng Asli Tekstur Komplit,SKU-25173173,90g,125000,125000,0.0,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Utara,No Promo,,Goreng,,Multipack,,,122,15250000,90.0,1,138888.8888888889,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Karton,SKU-67FB8853,90g,106990,106990,0.0,Mitra Distributor,Shopee,Jawa Timur,Sidoarjo,No Promo,,Goreng,,Multipack,,,89,9522110,90.0,1,118877.77777777778,True
2026-05-29,Wings Group,Mie Sedaap,Makanan Mi Mie Sedaap Sedap Rawit Bingit Ayam Jerit Pack 5'S,SKU-00E62BD0,77g,24250,24250,0.0,Toko Grosir Sembako,Shopee,Jawa Barat,Depok,No Promo,,Kuah,Ayam Jerit,Multipack,,,163,3952750,77.0,1,31493.506493506495,True
2026-05-29,Wings Group,Mie Sedaap,Sedap Goreng 1 Karton Mie Goreng Sedaap,SKU-54348175,90g,148500,148500,0.0,Toko Grosir Sembako,Shopee,Jawa Timur,Malang,No Promo,,Goreng,,Multipack,,,137,20344500,90.0,1,165000.0,True
2026-05-29,Wings Group,Mie Sedaap,Makanan Mi Mie Sedaap Sedap Goreng Pack 5'S,SKU-219DAFB5,90g,24250,24250,0.0,Official Store,Shopee,Jawa Timur,Malang,No Promo,,Goreng,,Multipack,,,116,2813000,90.0,1,26944.444444444445,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup All Varian,SKU-8C2AD8B3,77g,70000,70000,0.0,Official Store,Shopee,Jawa Barat,Bogor,No Promo,,,,Multipack,,,123,8610000,77.0,1,90909.09090909091,True
2026-05-29,Wings Group,Mie Sedaap,Makanan Mi Mie Sedaap Sedap Rawit Bingit Baso Bleduk Cup Pack 6'S,SKU-922CC1C7,77g,40500,40500,0.0,Toko Grosir Sembako,Shopee,Jawa Barat,Bogor,No Promo,,Kuah,Baso Bleduk,Multipack,,,64,2592000,77.0,1,52597.40259740259,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng,SKU-D1DE0146,5 pcs,138000,138000,0.0,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Barat,Bundling,Beli Banyak Lebih Murah,Goreng,,Multipack,2026-05-01,2026-05-31,231,31878000,410.0,5,33658.53658536585,True
2026-05-29,Wings Group,Mie Sedaap,Makanan Mie Mi Sedaap Sedap Soto Cup Pack 6'S,SKU-AD0307E7,77g,40500,40500,0.0,Toko Grosir Sembako,Shopee,Jawa Barat,Bandung,No Promo,,Soto,,Multipack,,,183,7411500,77.0,1,52597.40259740259,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Kuah Soto Bungkus X Satu Dos,SKU-49E25412,1 pcs,165000,165000,0.0,Supermarket Online,Shopee,Banten,Tangerang,No Promo,,Soto,,Multipack,,,152,25080000,82.0,1,201219.51219512196,True
2026-05-29,Wings Group,Mie Sedaap,Sedaap Mi Goreng Isi @ Karton,SKU-6814E579,5 x 90g,131920,131920,0.0,Retail Express,Shopee,Jawa Timur,Malang,No Promo,,Goreng,,Multipack,,,138,18204960,450.0,5,29315.555555555555,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng - Dan,SKU-6F967637,90g,132999,132999,0.0,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Selatan,No Promo,,Goreng,,Multipack,,,192,25535808,90.0,1,147776.66666666666,True
2026-05-29,Wings Group,Mie Sedaap,1 Mie Sedaap Goreng X - Rumeva Store,SKU-6B55E0C6,8 pcs,164999,164999,0.0,Mitra Distributor,Shopee,Jawa Barat,Depok,No Promo,,Goreng,,Multipack,,,169,27884831,656.0,8,25152.286585365855,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng,SKU-C8DB94F3,90g,140000,140000,0.0,Toko Kelontong Digital,Shopee,Jawa Timur,Sidoarjo,No Promo,,Goreng,,Multipack,,,106,14840000,90.0,1,155555.55555555556,True
2026-05-29,Wings Group,Mie Sedaap,Sedaap Mi Goreng Isi @ Karton,SKU-2D2A7970,5 x 90g,131380,131380,0.0,Official Store,Shopee,DKI Jakarta,Jakarta Timur,No Promo,,Goreng,,Multipack,,,169,22203220,450.0,5,29195.55555555556,True
2026-05-29,Wings Group,Mie Sedaap,Sedaap Mi Kuah Soto Isi @ Karton,SKU-B44FEBC0,5 x 75g,101990,101990,0.0,Toko Grosir Sembako,Shopee,Jawa Timur,Malang,No Promo,,Soto,,Multipack,,,223,22743770,375.0,5,27197.333333333336,True
2026-05-29,Wings Group,Mie Sedaap,Sedaap Mi Kuah Soto Isi @ Karton,SKU-28567918,5 x 75g,124110,124110,0.0,Supermarket Online,Shopee,DKI Jakarta,Jakarta Barat,No Promo,,Soto,,Multipack,,,154,19112940,375.0,5,33096.0,True
2026-05-29,Wings Group,Mie Sedaap,Sedaap Mi Goreng Isi @ Karton,SKU-58074881,5 x 90g,134380,134380,0.0,Mitra Distributor,Shopee,Jawa Barat,Bogor,No Promo,,Goreng,,Multipack,,,200,26876000,450.0,5,29862.22222222222,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Karton,SKU-4D23FCD2,90g,136590,136590,0.0,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Utara,No Promo,,Goreng,,Multipack,,,239,32645010,90.0,1,151766.6666666667,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Karton,SKU-B7A33DA2,90g,145360,145360,0.0,Toko Grosir Sembako,Shopee,Jawa Timur,Sidoarjo,No Promo,,Goreng,,Multipack,,,249,36194640,90.0,1,161511.1111111111,True
2026-05-29,Wings Group,Mie Sedaap,Sedaap Mi Goreng Isi @ Karton,SKU-E6467E1C,5 x 90g,135340,135340,0.0,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Selatan,No Promo,,Goreng,,Multipack,,,177,23955180,450.0,5,30075.555555555555,True
2026-05-29,Indofood,Indomie,Indomie Kuah Soto Mi 5 In,SKU-29CD316E,80g,20080,20080,0.0,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Timur,No Promo,,Soto,,Multipack,,,173,3473840,80.0,1,25100.0,True
2026-05-29,Indofood,Indomie,Indomie Kari Ayam,SKU-103DFE4A,72g,140200,140200,0.0,Supermarket Online,Shopee,Jawa Timur,Malang,No Promo,,Kari,Kari Ayam,Multipack,,,227,31825400,72.0,1,194722.22222222222,True
2026-05-29,Indofood,Indomie,Indomie Ayam Bawang - Fortifikasi Vitamin,SKU-F58A3A9D,69g,145000,145000,0.0,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Barat,No Promo,,Kuah,Ayam Bawang,Multipack,,,57,8265000,69.0,1,210144.9275362319,True
2026-05-29,Indofood,Indomie,Indomie Mi Goreng Kriuuk Pedas,SKU-237FCA0B,90g,146000,146000,0.0,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Barat,No Promo,,Goreng,,Multipack,,,126,18396000,90.0,1,162222.22222222222,True
2026-05-29,Indofood,Indomie,Indomie Mi Goreng,SKU-EDBAA86F,129g,110000,110000,0.0,Supermarket Online,Shopee,DKI Jakarta,Jakarta Utara,No Promo,,Goreng,,Multipack,,,218,23980000,129.0,1,85271.31782945736,True
2026-05-29,Indofood,Indomie,New! Indomie Goreng Spesial 5 In,SKU-C6691638,80g,20170,20170,0.0,Mitra Distributor,Shopee,Jawa Barat,Depok,No Promo,,Goreng,Goreng Spesial,Multipack,,,179,3610430,80.0,1,25212.5,True
2026-05-29,Indofood,Indomie,Indomie Goreng Spesial Stok,SKU-E6310013,85g,150000,150000,0.0,Retail Express,Shopee,Jawa Barat,Bandung,No Promo,,Goreng,Goreng Spesial,Multipack,,,126,18900000,85.0,1,176470.58823529413,True
2026-05-29,Indofood,Indomie,Indomie Mix Goreng Kuah 1/2 Pcs,SKU-DF44D8D5,20 pcs,71345,150,99.79,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Utara,Discount,Diskon Spesial,Goreng,,Multipack,2026-05-01,2026-05-31,1022,153300,1600.0,20,9.375,True
2026-05-29,Indofood,Indomie,Ctn - Indomie Goreng Spesial,SKU-A54D70C8,80g,163200,163200,0.0,Official Store,Shopee,DKI Jakarta,Jakarta Pusat,No Promo,,Goreng,Goreng Spesial,Multipack,,,215,35088000,80.0,1,204000.0,True
